S. No,Name of Public Authority,%,Grade
420,"Organisation & Method Department, North DMC",73%,C
421,"PDPM-IIITDM, Jabalpur",72%,C
422,Raman Research Institute,79%,C
423,"Regional Centre for Biotechnology, Faridabad Haryana",71%,C
424,"Regional Office of Health & Family Welfare, Chennai",77%,C
425,"Regional Office,South zone Bangalore, Ministry ofEnvironment & Forests",79%,C
426,"Registrar of Companies, Coimbatore",79%,C
427,SAFDARJUNG HOSPITAL,71%,C
428,Sardar Sarovar Construction Advisory Committee,75%,C
429,"Science and Engineering Research Board (SERB),Department of Science & Technology",77%,C
430,Tariff Commission,73%,C
431,"The North Eastern Development Finance CorporationLtd (NEDFi), Guwahati",73%,C
432,UPPER YAMUNA RIVER BOARD,71%,C
433,V.V. Giri National Labour Institute,77%,C
434,"Agricultural & Processed Food Products ExportDevelopment Authority",66%,D
435,"Ambedkar Institute of Technology, Delhi",66%,D
436,"ATOMIC MINERALS DIRECTORATE FOREXPLORATION & RESEARCH",62%,D
437,Babu Jagjiwan Ram National Foundation,62%,D
438,Bank of Baroda,68%,D
439,Bank of Maharashtra,62%,D
440,"Bengal Chemicals & Pharmaceuticals Ltd.,Departmentof Pharmaceuticals",60%,D
441,"Bhabha Atomic Research Centre, Trombay, Mumbai",62%,D
442,Bhai Parmanand Institute of Business Studies (BPIBS),66%,D
443,Bhaskaracharaya College of Applied Science,67%,D
444,"CCBF, Dhamrod",62%,D
445,"CENTRAL ADMINISTRATIVE TRIBUNAL, JABALPURBENCH, Jabalpur",65%,D
446,Central Agroforestry Research Institute(ICAR),66%,D
447,"Central Council for Research in Ayurvedic Sciences(CCRAS)",66%,D
448,Central Inland Fisheries Research Institute,62%,D
449,"Central Marine Fisheries Research Institute, Kochi",65%,D
450,CENTRAL SHEEP AND WOOL RESEARCH INSTITUTE,65%,D
451,Central University of Tamil Nadu,64%,D
452,"CFTI, Chennai",70%,D
453,"Chief Commissioner of Custms & Central Excise,Vadodara ZONE",69%,D
454,COIR BOARD,65%,D
455,Consulate General of India Phuenstholing,61%,D
456,"Consulate General of India, Toronto",64%,D
457,Consultancy Development Centre,62%,D
458,Container Corporation of India Ltd.,67%,D
459,Dena Bank,68%,D
460,Department of empowerment of person with disablites,67%,D
461,Department of Financial Services,69%,D
462,Department Of Posts,70%,D
463,Director General of Civil Aviation,66%,D
464,Directorate General All India Radio,62%,D
465,"Directorate General of Aeronautical Quality Assurance(DGAQA)",67%,D
466,"Directorate of Gurdwara Elections, Govt. of N.C.T ofDelhi",68%,D
467,Directorate of Millets Development,65%,D
468,"Directorate of Oilseeds Development, Hyderabad",67%,D
469,"Directorate of Rice Development,Department ofAgriculture & Cooperation",64%,D
470,Directorate of Training UTCS,65%,D
471,"Dr. B.R. Ambedkar National Institute of Technology,Jalandher",63%,D
472,"DRT, Aurangabad",62%,D
473,ECGC LTD,62%,D
474,Embassy of India Ljubljana,65%,D
475,Embassy of India Male,62%,D
476,"Embassy of India, Brasilia",68%,D
477,"Embassy of India, Sofia",67%,D
478,"Embassy of India, Warsaw, Poland",69%,D
479,"FFDC, Kannauj",68%,D
480,Forensic Science Laboratory Govt of NCT of delhi,65%,D
481,"GST Commissionerate, Jalandher ,Office of ChiefCommissioner of GST, Chandigarh Zone",70%,D
482,"High Commission of India, Kampala",66%,D
483,"ICAR-Central Coastal Agricultural ResearchInstitute(CCARI), GOA",66%,D
484,"ICAR-Central Institute for Research on Buffaloes(CIRB)",69%,D
485,ICAR-National Bureau of Plant Genetic Resources,61%,D
486,IFCI Limited (IFCI),63%,D
487,IHM Hyderabad,67%,D
488,"IIT, Ropar",64%,D
489,India Coast Guard,61%,D
490,Indian Army,69%,D
491,Indian Bank,63%,D
492,Indian Institute of Information Technology Dharwad,69%,D
493,"Indian Institute of Integrative Medicine (IIIM),Jammu",67%,D
494,Indian Institute of Management Indore,68%,D
495,Indian Institute of Management(I I M) Tiruchirappalli,68%,D
496,Indian Institute of Technology (IIT) Patna,62%,D
497,"Indian Institute of Technology (IIT), Bhubaneshwar",62%,D
498,Indian Institute of Technology Gandhinagar,69%,D
499,Indian Institute of Technology Roorkee,65%,D
500,"Institute of Hotel Management(IHM), Pusa, New Delhi",69%,D
501,"Jawaharlal Nehru Aluminium Research Developmentand Design Centre(JNARDDC), Nagpur",68%,D
502,Labour Bureau,60%,D
503,Labour Department Delhi,63%,D
504,Mahalanobis National Crop Forecast Centre,66%,D
505,"Malavya National Institute of Technology, Jaipur",69%,D
506,MECON Limited,69%,D
507,Ministry of culture,68%,D
508,Ministry of Electronics & Information Technology,64%,D
509,MSTC Limited,68%,D
510,National Centre for Cell Science(NCCS),65%,D
511,National Centre of Organic Farming,66%,D
512,National Council for Cement and Building Materials,65%,D
513,National Green Tribunal,62%,D
514,"National Institute of Miners' Health, Nagpur",70%,D
515,"National Institute of Technology, Calicut",61%,D
516,National Skill Development Corporation (NSDC),67%,D
517,NCHMCT NOIDA,65%,D
518,"NIPER, Rae Bareli",61%,D
519,NISCAIR,70%,D
520,NIT Mizoram,68%,D
521,"North Eastern Handicrafts and Handloom DevelopmentCorporation (NEHHDC)",68%,D
522,"North Eastern Regional Institute of Science andTechnology",64%,D
523,"North Eastern Regional Institute of Water and LandManagement (NERIWALM)",66%,D
524,Nuclear Fuel Complex (NFC),66%,D
525,Office of the Registrar General of India (ORGI),61%,D
526,"Office of the Chief Commissioner of Goods & Service Taxand Customs, Shillong Zone",65%,D
527,Punjab Engineering College,68%,D
528,Rajiv Gandhi Centre for Biotechnology,68%,D
529,"Rashtriya Mahila Kosh,  Ministry of Women & ChildDevelopment",62%,D
530,"REGIONAL OFFICE OF HEALTH AND FAMILYWELFARE, BHUBENESWAR",67%,D
531,"Rehabilitation Council of India, Ministry of social,Justice & Empowerment",69%,D
532,Reserve Bank Of India,60%,D
533,Rural Electrification Corporation Ltd.,62%,D
534,"Sardar Vallabhbhai National Institute of Technology(SVNIT)",68%,D
535,Secretariate of Vice President,69%,D
536,Solar Energy Corporation of India Limited,63%,D
537,SPMCIL Bank Note Press,63%,D
538,SPMCIL Currency Note Press Nashik,63%,D
539,Survey Of India,69%,D
540,Tata Institute of Fundamental Research,67%,D
541,Tata Memorial Centre,68%,D
542,"The Institute of Cost Accountants of India, Ministry ofCorporate Affairs",70%,D
543,The National Small Industries Corporation Ltd,60%,D
544,Union Bank of India,67%,D
545,United India Insurance Co. Ltd.,67%,D
546,Wadia Institute of Himalayan Geology,65%,D
547,"Advanced Materials and Processes Research Institute(AMPRI)",50%,E
548,"Aghakar Research Institute (ARI), Pune",23%,E
549,"Agricultural Technology Application Research Institute,Zone-V (KOLKATA)",36%,E
550,"Airport Health Organisation, Chennai",49%,E
551,"Airport Health Organisation, NSCBI Airport, Kolkata",25%,E
552,AIRPORTS AUTHORITY OF INDIA,57%,E
553,All INDIA INSTITUTE OF PHYSICAL MEDICINE AND,38%,E
554,Ambedkar University Delhi,47%,E
555,Andhra Bank,20%,E
556,"AQCS, New Delhi",56%,E
557,Armed Forces Films & Photo Division (AFFPD),10%,E
558,Aryabhat Institute of Technology,26%,E
559,Banaras Hindu University,46%,E
560,Bansagar Control Board,34%,E
561,Bharat Coking Coal LImited,56%,E
562,BHEL,46%,E
563,Bhopal Memorial Hospital & Research Center (BMHRC),47%,E
564,Board of Apprenticeship Training (BOAT) (NR) Kanpur,43%,E
565,"Botanical Survey of India, Kolkatta",51%,E
566,"Brahmaputra Board, Ministry of water resources RDand GR",58%,E
567,Braithwaite and Co Ltd,45%,E
568,"Braithwaite Burn And Jessop Construction CompanyLimited (BBJ)",49%,E
569,Bureau of Civil Aviation Security,58%,E
570,CAPART,57%,E
571,"CDRI, Lucknow",56%,E
572,"CEERI, Pilani",6%,E
573,Cenral University of Himachal Pradesh,25%,E
574,Center of Innovative and Applied Bioprocessing (CIAB),41%,E
575,Central Citrus Research Institute (ICAR),45%,E
576,Central Council for Research in Siddha,51%,E
577,"Central Forensic Science Laboratory, (CBI) New Delhi",34%,E
578,"Central Government Industrial Tribunal-cum-LabourCourt, Kolkata",16%,E
579,Central Ground Water Board,47%,E
580,Central Institute for Research on Goats,43%,E
581,"Central Institute of Post- Harvest Engineering andTechnology (CIPHET)",42%,E
582,Central Institute of Temperate Horticulture,33%,E
583,Central Mine Planning and Design Institute,46%,E
584,"Central Poultry Devlopment Organization (WR),Mumbai",31%,E
585,Central Public Works Department,48%,E
586,Central Reference Library,48%,E
587,"CENTRAL RESEARCH INSTITUTE,KASAULI",25%,E
588,"Central Sheep Breeding Farm, Hisar",41%,E
589,Central University of Karnataka,58%,E
590,Central University of Kashmir,47%,E
591,Central University of Punjab,45%,E
592,Central Vigilance Commission,55%,E
593,Centre for DNA Fingerprinting and Diagnostics (CDFD),39%,E
594,Centre for High Technology (CHT),1%,E
595,"Centre for Marine Living Resources andEcology,Ministry of Earth Science (MoES)",31%,E
596,Centre for Materials for Electronics Technology (CMET),56%,E
597,"CFTI, Agra",60%,E
598,CGI Melbourne,41%,E
599,"CGIT cum Labour Court No.1, Mumbai",21%,E
600,Chennai Port Trust,52%,E
601,"Chief Commissioner of Customs, Mumbai-II Zone",47%,E
602,"CIHT, Jalandhar",18%,E
603,"CIMAP,Lucknow",36%,E
604,Collectorate Karaikal,31%,E
605,"Consulate General of India, Chicago",42%,E
606,"Consulate General of India, Ho Chi Minh City, Vietnam",42%,E
607,"Consulate General of India, San Francisco",43%,E
608,"Consulate General of India, Istanbul",36%,E
609,Corporation Bank,56%,E
610,"CSIR - National Aerospace Laboratories,  Bengaluru",38%,E
611,"CSIR Central Leather Research Institute, Chennai",34%,E
612,CSIR Fourth Paradigm Institute (CSIR-4PI),56%,E
613,CSIR Human Resource Development Group,47%,E
614,"CSIR Madras Complex, Chennai",48%,E
615,CSIR National Chemical Laboratory,39%,E
616,"CSIR-Central Road Research Institute, New Delhi",38%,E
617,"CSIR-INDIAN INSTITUTE & PETROLEUM, DEHRADUN",51%,E
618,"CSIR-Institute of Minerals & Materials Technology,bhubaneswar",60%,E
619,CSIR-NIO,56%,E
620,"CSIR-SERC, Chennai",59%,E
621,Damodar Valley Corp.,45%,E
622,Debts Recovery Tribunal Visakhapatnam,25%,E
623,Delhi Financial Corporation,57%,E
624,Delhi Nursing Council,39%,E
625,Delhi State Legal Services Authority (DSLSA),57%,E
626,Delhi Technological University (DTU),53%,E
627,Department of Consumer Affairs,59%,E
628,Department of Defence Production Sectt.,43%,E
629,Department Of Economic Affairs,59%,E
630,Department of Ex-servicesmen Welfare,38%,E
631,Department of Fertilisers,45%,E
632,DEPARTMENT OF REVENUE,19%,E
633,DEPARTMENT OF REVENUE,40%,E
634,"Department of Revenue and Disaster management(DRDM), Puducherry",42%,E
635,DEPARTMENT OF RURAL DEVELOPMENT,43%,E
636,"Department of Science & Technology, UT of Chandigarh",56%,E
637,"Director General Armed Forces Medical Service(DGAFMS)",24%,E
638,"Directorate General Factory Advice Service & LabourInstitutes",52%,E
639,"Directorate General of Mines Safety,ministry of labour& employment",50%,E
640,"Directorate General of Performance Management(DGPM), New Delhi",54%,E
641,Directorate of Adult Education,1%,E
642,"Directorate of Audit, GNCT of Delhi",37%,E
643,"Directorate of AYUSH, Homoeopathic Wing, Govt. ofNCT of Delhi",45%,E
644,"Directorate of Forest Education, Dehradun",35%,E
645,Directorate of Standardisation,22%,E
646,"Dr Harisingh Gour Vishwavidyalaya (a CentralUniversity)",57%,E
647,"Dr. B.R. Sur Homoeopathic Medical College andHospital",28%,E
648,Dr. N.C.Joshi Memorial Hospital,58%,E
649,"DRDM,Puducherry",42%,E
650,"Dredging Corporation of India Litd., Visakhapatnam",38%,E
651,"DRT-III, Chennai",46%,E
652,Eastern Coalfields Limited,45%,E
653,"Embassy of India, Amman",48%,E
654,"Embassy of India, Baghdad",36%,E
655,"Embassy of India, Bangkok",52%,E
656,"Embassy of India, Budapest",31%,E
657,"Embassy of India, Madrid, Spain",55%,E
658,"Embassy of India, Panama",48%,E
659,"Embassy of India, Thimphu",59%,E
660,Employees State Insurance Corporation,56%,E
661,Engineers India Limited,59%,E
662,Export-Import Bank of India (Exim Bank),57%,E
663,"FCI Aravali Gypsum and Minerals IndiaLimited(FAGMIL)",47%,E
664,Fertilizer and Chemical Travencore Limited (FACT),33%,E
665,"G.B. Pant National Institute of Himalayan Environment& Sustainable Development",43%,E
666,"General Services Organisation, Kalpakkam",34%,E
667,Goa Shipyard Limited (GSL),25%,E
668,"High Commission of India, Pretoria, South Africa",19%,E
669,Hindustan Newsprint Ltd,47%,E
670,Hindustan Organic Chemicals Ltd,35%,E
671,"ICAR- Central Island Agricultural Research Institute,Port Blair, Andaman and Nicobar Islands)",55%,E
672,ICAR Research Complex for Eastern Region,22%,E
673,ICAR-Central Institute for Women in Agriculture,50%,E
674,"ICAR-National Institute of High Security AnimalDiseases",44%,E
675,ICAR-National Research Centre on Meat,52%,E
676,ICAR-National Research Centre on Yak,43%,E
677,IDBI Bank Ltd,47%,E
678,"IGIB, Delhi",31%,E
679,"IHBT, Palampur",51%,E
680,IHM Bangaluru,53%,E
681,IHM Bhubaneswar,23%,E
682,IHM Guwahati,55%,E
683,IHM Gwalior,48%,E
684,IHM Srinagar,45%,E
685,"IHM, Hajipur",36%,E
686,IICT Hyderabad,42%,E
687,"IICT, Hyderabad",21%,E
688,"IIM Sirmaur, Himachal Pradesh",12%,E
689,IIT Hyderabad,46%,E
690,IIT Indore,49%,E
691,IIT Palakkad,23%,E
692,"India Government Mint, Kolkata",20%,E
693,"India Government Mint, Noida",23%,E
694,"India Security Press, Nashik Road",55%,E
695,Indian Association for the Cultivation Of Science  (IACS),45%,E
696,"Indian Council of World Affairs(ICWA), MEA",8%,E
697,Indian Drugs & Pharmaceuticals Ltd.,27%,E
698,"Indian Institute of Chemical Biology(IICB), Kolkata",41%,E
699,Indian Institute of Information Technology Vadodara,43%,E
700,"Indian Institute of Information Technology, Sri City,Chittoor",32%,E
701,Indian Institute of Maize Research (ICAR),46%,E
702,Indian Institute of Natural Resins and Gums (ICAR),8%,E
703,Indian Institute of Packaging,51%,E
704,"Indian Institute of Technology (BHU), Varanasi",59%,E
705,Indian Institute of Technology Jammu,43%,E
706,Indian Institute of Technology Tirupati,38%,E
707,"Indian maritime university, chennai",50%,E
708,Indian National Centre for Ocean Information Services,36%,E
709,Indian Overseas Bank,23%,E
710,"Indian Plywood Industries Research & TrainingInstitute",37%,E
711,"Indian Institute of Soil and Water Conservation(Formerly CSWCRTI)",26%,E
712,Indira Gandhi Center for Atomic Research,25%,E
713,Indira Gandhi National Open University,40%,E
714,Indo Tibetan Border Police,49%,E
715,"Institute of Hotel Management (IHM), Lucknow",28%,E
716,Insurance Regulatory and Development Authority,51%,E
717,"International Advanced Research Centre for PowderMetallurgy",50%,E
718,International Institute of Population Sciences,53%,E
719,Jamia Millia Islamia (A Central University),27%,E
720,Joint Plant Committee,41%,E
721,"Kalawati Saran Children's Hospital, New Delhi",15%,E
722,"Kandla Special Economic Zone, Gandhidham,Department of Commerce",53%,E
723,KIOCL Limited,56%,E
724,"LHMC and SMT. S.K. Hospital, New Delhi",17%,E
725,"Mangalore Refinery and Petrochemicals Limited(MRPL)",17%,E
726,"MEME DI, Gangtok",38%,E
727,Ministry of AYUSH,48%,E
728,Ministry of Development of North Eastern Region,31%,E
729,Ministry of Mines,53%,E
730,Ministry of New and Renewable Energy,51%,E
731,Ministry of Petroleum and natural Gas,45%,E
732,Ministry of Power,48%,E
733,Ministry of Skill Development & Entrepreneurship,48%,E
734,Ministry of Tourism,54%,E
735,MSME DI JAIPUR,50%,E
736,MSME DI Karnal,32%,E
737,MSME DI Nagpur,25%,E
738,"MSME Testing Centre, Chennai",26%,E
739,NABARD,23%,E
740,"NATIONAL ACADEMY OF CUSTOMS, INDIRECT TAXES& NARCOTICS, DEPARTMENT OF REVENUE",4%,E
741,"National Academy of Customs, Indirect Taxes andNarcotics (NACIN), Faridabad",8%,E
742,National Academy of Sciences,55%,E
743,"National Agri-Food Biotechnology Institute (NABI),Mohali",42%,E
744,National Bureau of Animal Genetic Resources,36%,E
745,National Centre for Cold Chain Development (NCCD),43%,E
746,"National Centre for Sustainable Coastal Management(NCSCM)",32%,E
747,National Commission for Safai Karamchari,53%,E
748,National Council of Science Museum,54%,E
749,National Crime Record Bureau (NCRB),46%,E
750,National Defence College,20%,E
751,"National Institute for Interdisciplinary Science andTechnology (NIIST)",29%,E
752,"National Institute for Orthopaedically Handicapped/National Institute for Locomotor Disabilities",49%,E
753,National Institute for the Mentally Handicapped,26%,E
754,National Institute of Immunology,55%,E
755,National Institute of Mounatareeing and allied sports,53%,E
756,"National Institute of Technology, Meghalaya",56%,E
757,"National Institute of Technology, Puducherry",45%,E
758,"National Institute of Technology, Raipur",35%,E
759,"National Institute of Technology, Sikkim",45%,E
760,"National Institute of Technology, Tiruchirappalli",59%,E
761,"National Institute of Technology, Uttarakhand",55%,E
762,"National Institute of Tuberculosis and RespiratoryDiseases(NITRD)",45%,E
763,"National Institute of Veterinary Epidemiology andDisease Informatics",25%,E
764,National Jute Manufacturing Corporation Ltd.,45%,E
765,National Productivity Council,45%,E
766,National Research Centre for Litchi (ICAR),51%,E
767,"National Research Centre on Camel (ICAR), BIKANER",38%,E
768,National Research Centre on Pomegranate (ICAR),54%,E
769,"National Scheduled Castes Finance and DevelopmentCorporation",48%,E
770,National Security Guard,47%,E
771,National Vector Borne Disease Control Programme,54%,E
772,Nehru Homoeopathic Medical College and Hospital,40%,E
773,"NEPA Ltd., Nepanagar, M.P.",31%,E
774,NIELIT - Agartala,59%,E
775,NIELIT Jammu/ srinagar,60%,E
776,"NIELIT, Ranchi",30%,E
777,"NIEPA, New Delhi",51%,E
778,"NIFPHATT, Kochi",19%,E
779,NLC India Limited,56%,E
780,"North East Centre for Technology Application & Reach(NECTAR)",1%,E
781,"North East Institute of Science and Technology (NEIST),Jorhat",48%,E
782,North Eastern Electric Power Corporation,43%,E
783,North Eastern Police Academy,59%,E
784,"North-Eastern Hill University (NEHU), Shillong",55%,E
785,"Northern Region Farm Machinery Training & TestingInstitute",32%,E
786,Nuclear Power Corporation of India,31%,E
787,Numaligarh Refinery Limited (NRL),26%,E
788,"O/o Chief Judge, Govt. of Puducherry (JudicialDepartment Puducherry)",22%,E
789,"Office of Principal Chief Commissioner of Income Tax,Mumbai",59%,E
790,"Office of Regional Director, Chennai(Ministry ofCorporate Affairs)",11%,E
791,"Office of the Chief Commissioner for Persons withDisabilities",50%,E
792,"Office of the Commissioner of Customs (Exports),Nhava-sheva, Raigad",18%,E
793,"Office of The Regional Drugs Testing Laboratory,Guwahati",59%,E
794,Oil India Limited (OIL),57%,E
795,Oriental Bank of Commerce,49%,E
796,Oriental Insurance Company Ltd.,52%,E
797,PEC Ltd.,33%,E
798,"Port Health Organisation, Visakhapatnam, MOHFW",32%,E
799,"Pt. Deendayal Upadhyaya National Institute for PersonsWith Physical Disabilites",24%,E
800,Punjab National Bank,53%,E
801,Rail Tel Corporation of India Ltd.,49%,E
802,"Raja Ramanna Centre for Advanced Technology, Indore",18%,E
803,Raja Rammohun Roy Library Foundation(RRRLF),39%,E
804,Rajiv Gandhi National Institute of Youth Development,41%,E
805,"Regional Drugs Testing Laboratory, Chandigarh",8%,E
806,"Regional Office For Health & Family Welfare,(Bihar andJharkhand)",0%,E
807,"Regional Office of Health & Family Welfare,Lucknow",29%,E
808,"Regional Office of Health & FamilyWelfare,Thiruvananthapuram",54%,E
809,"REGIONAL OFFICE OF HEALTH AND FAMILY Welfare,SHIMLA",0%,E
810,"REGIONAL OFFICE OF HEALTH AND FAMILYWELFARE, SRINAGAR",38%,E
811,Rubber Board,39%,E
812,"Sardar Swaran Singh National Institute of Bio-Energy,Ministry of New and Renewable Energy",21%,E
813,"School of Planning and Architecture (SPA), Bhopal",52%,E
814,Secretariat of the ELECTION COMMISSION OF INDIA,51%,E
815,Services Sports Control Board (SSCB),43%,E
816,Sethusamudram Corporation Ltd,20%,E
817,Shipping Corp. of India Ltd.,52%,E
818,"Shree Chitra Triunal Institute for Medical Sciences andTechnology",58%,E
819,SIDBI,37%,E
820,"Society for Applied Microwave Electronics Engineeringand Research (SAMEER)",52%,E
821,Spices Board,50%,E
822,SPMCIL Corporate Office,44%,E
823,State Bank of India,54%,E
824,"Swami Vivekanand National Institute of RehabilitationTraining and Research (SVNIRTR)",30%,E
825,Tea Research Association,38%,E
826,Technology Development Board,30%,E
827,"Technology Information, Forecasting and AssessmentCouncil (TIFAC)",16%,E
828,Telecom Consultants of India,56%,E
829,Textile Committee,47%,E
830,The Jute Corporation of India Limited,56%,E
831,The Marine Products Export Development Authority,49%,E
832,"Town and Country Planning Organisation (TCPO),MoHUA",0%,E
833,"Translational Health Science and Technology Institute(THSTI)",56%,E
834,TRIFED,20%,E
835,Tungabhadra Board,51%,E
836,UCO Bank,57%,E
837,Variable Energy Cyclotron Centre,46%,E
838,"Vigyan Prasar, Noida",58%,E