complaint_id,complaint_text,area,department,priority,eta_days
1,Irregular water supply in Hadapsar,Hadapsar,Sanitation,High,4
2,Garbage not collected in Viman Nagar,Viman Nagar,Waste Management,Medium,4
3,Irregular water supply in Wagholi,Wagholi,Road Maintenance,Low,4
4,No electricity since morning in Camp,Camp,Sanitation,Low,2
5,Overflowing garbage bin in Wagholi,Wagholi,Waste Management,Medium,6
6,Overflowing garbage bin in Aundh,Aundh,Water Supply,Medium,2
7,Garbage not collected in Kharadi,Kharadi,Road Maintenance,Medium,3
8,Water leakage reported in Pimpri,Pimpri,Waste Management,Medium,7
9,Drainage system is blocked in Camp,Camp,Waste Management,High,4
10,No electricity since morning in Viman Nagar,Viman Nagar,Waste Management,Low,3
11,Overflowing garbage bin in Camp,Camp,Road Maintenance,Medium,2
12,Open manhole reported in Aundh,Aundh,Water Supply,Medium,7
13,Road has major potholes in Pimpri,Pimpri,Electricity,High,4
14,Overflowing garbage bin in Kharadi,Kharadi,Waste Management,Medium,1
15,Streetlight not working in Pimpri,Pimpri,Water Supply,High,4
16,Drainage system is blocked in Pimpri,Pimpri,Sanitation,High,1
17,Water leakage reported in Hadapsar,Hadapsar,Waste Management,High,1
18,No electricity since morning in Camp,Camp,Electricity,Low,2
19,No electricity since morning in Baner,Baner,Electricity,Medium,6
20,Streetlight not working in Baner,Baner,Sanitation,Medium,3
21,Drainage system is blocked in Kothrud,Kothrud,Electricity,Medium,7
22,Water leakage reported in Kothrud,Kothrud,Road Maintenance,High,1
23,Water leakage reported in Kothrud,Kothrud,Road Maintenance,Medium,5
24,Drainage system is blocked in Wagholi,Wagholi,Electricity,Medium,1
25,Irregular water supply in Hadapsar,Hadapsar,Sanitation,Medium,1
26,Streetlight not working in Baner,Baner,Waste Management,High,6
27,Water leakage reported in Kothrud,Kothrud,Road Maintenance,Medium,5
28,Open manhole reported in Baner,Baner,Water Supply,Medium,1
29,Broken footpath in Camp,Camp,Sanitation,High,2
30,No electricity since morning in Aundh,Aundh,Water Supply,Medium,2
31,Irregular water supply in Kharadi,Kharadi,Sanitation,High,5
32,Road has major potholes in Wagholi,Wagholi,Road Maintenance,High,2
33,Streetlight not working in Kothrud,Kothrud,Water Supply,High,3
34,Irregular water supply in Camp,Camp,Electricity,Medium,4
35,No electricity since morning in Shivaji Nagar,Shivaji Nagar,Water Supply,High,3
36,Open manhole reported in Camp,Camp,Road Maintenance,Medium,2
37,Road has major potholes in Pimpri,Pimpri,Road Maintenance,Medium,4
38,Open manhole reported in Hadapsar,Hadapsar,Electricity,Medium,3
39,Streetlight not working in Viman Nagar,Viman Nagar,Water Supply,Medium,2
40,Irregular water supply in Camp,Camp,Road Maintenance,Medium,5
41,Broken footpath in Wagholi,Wagholi,Road Maintenance,Medium,2
42,Broken footpath in Kharadi,Kharadi,Water Supply,Medium,5
43,Streetlight not working in Baner,Baner,Road Maintenance,Medium,3
44,Overflowing garbage bin in Pimpri,Pimpri,Waste Management,Medium,1
45,Drainage system is blocked in Aundh,Aundh,Waste Management,Medium,2
46,Road has major potholes in Shivaji Nagar,Shivaji Nagar,Water Supply,Medium,1
47,Drainage system is blocked in Kothrud,Kothrud,Waste Management,High,2
48,No electricity since morning in Viman Nagar,Viman Nagar,Waste Management,Medium,1
49,Overflowing garbage bin in Baner,Baner,Road Maintenance,High,7
50,Overflowing garbage bin in Viman Nagar,Viman Nagar,Road Maintenance,Medium,4
51,Open manhole reported in Baner,Baner,Waste Management,Medium,7
52,Water leakage reported in Viman Nagar,Viman Nagar,Road Maintenance,Medium,2
53,Road has major potholes in Shivaji Nagar,Shivaji Nagar,Waste Management,High,5
54,Open manhole reported in Wagholi,Wagholi,Sanitation,Medium,2
55,Irregular water supply in Baner,Baner,Water Supply,Medium,2
56,Garbage not collected in Kothrud,Kothrud,Water Supply,Medium,3
57,Open manhole reported in Kothrud,Kothrud,Road Maintenance,Medium,7
58,Road has major potholes in Baner,Baner,Sanitation,High,2
59,Overflowing garbage bin in Kharadi,Kharadi,Electricity,High,4
60,Garbage not collected in Wagholi,Wagholi,Water Supply,High,5
61,Garbage not collected in Wagholi,Wagholi,Electricity,High,2
62,Irregular water supply in Aundh,Aundh,Road Maintenance,Low,5
63,Irregular water supply in Hadapsar,Hadapsar,Waste Management,Medium,7
64,Water leakage reported in Pimpri,Pimpri,Water Supply,High,7
65,Open manhole reported in Camp,Camp,Electricity,Medium,6
66,Overflowing garbage bin in Viman Nagar,Viman Nagar,Road Maintenance,Medium,6
67,Irregular water supply in Pimpri,Pimpri,Water Supply,High,2
68,Broken footpath in Kharadi,Kharadi,Electricity,Medium,7
69,Drainage system is blocked in Hadapsar,Hadapsar,Waste Management,Medium,1
70,No electricity since morning in Pimpri,Pimpri,Water Supply,High,2
71,Garbage not collected in Viman Nagar,Viman Nagar,Water Supply,Medium,5
72,Drainage system is blocked in Aundh,Aundh,Road Maintenance,Medium,5
73,Water leakage reported in Pimpri,Pimpri,Road Maintenance,Low,2
74,Road has major potholes in Kothrud,Kothrud,Electricity,High,5
75,Irregular water supply in Camp,Camp,Sanitation,High,5
76,Garbage not collected in Camp,Camp,Electricity,Low,3
77,Drainage system is blocked in Camp,Camp,Waste Management,Medium,6
78,Water leakage reported in Baner,Baner,Electricity,High,1
79,Water leakage reported in Hadapsar,Hadapsar,Waste Management,Medium,4
80,No electricity since morning in Pimpri,Pimpri,Electricity,Medium,5
81,Water leakage reported in Shivaji Nagar,Shivaji Nagar,Waste Management,High,2
82,Irregular water supply in Viman Nagar,Viman Nagar,Electricity,High,1
83,Overflowing garbage bin in Baner,Baner,Road Maintenance,Medium,5
84,Overflowing garbage bin in Shivaji Nagar,Shivaji Nagar,Water Supply,Low,5
85,Broken footpath in Aundh,Aundh,Electricity,Medium,4
86,Road has major potholes in Aundh,Aundh,Road Maintenance,Medium,5
87,Garbage not collected in Aundh,Aundh,Water Supply,Low,5
88,Overflowing garbage bin in Wagholi,Wagholi,Sanitation,Medium,1
89,Irregular water supply in Pimpri,Pimpri,Sanitation,High,5
90,Water leakage reported in Pimpri,Pimpri,Sanitation,High,7
91,Overflowing garbage bin in Kothrud,Kothrud,Sanitation,Medium,2
92,No electricity since morning in Hadapsar,Hadapsar,Waste Management,Medium,2
93,Irregular water supply in Baner,Baner,Road Maintenance,Low,5
94,Overflowing garbage bin in Pimpri,Pimpri,Road Maintenance,Medium,2
95,Water leakage reported in Kharadi,Kharadi,Water Supply,High,3
96,Irregular water supply in Shivaji Nagar,Shivaji Nagar,Electricity,Medium,6
97,Water leakage reported in Shivaji Nagar,Shivaji Nagar,Road Maintenance,Medium,5
98,Drainage system is blocked in Wagholi,Wagholi,Water Supply,Low,5
99,Road has major potholes in Camp,Camp,Electricity,Medium,3
100,Streetlight not working in Shivaji Nagar,Shivaji Nagar,Sanitation,Medium,6
101,Streetlight not working in Pimpri,Pimpri,Waste Management,Medium,3
102,Broken footpath in Wagholi,Wagholi,Water Supply,Low,3
103,Garbage not collected in Hadapsar,Hadapsar,Sanitation,Medium,1
104,Water leakage reported in Shivaji Nagar,Shivaji Nagar,Road Maintenance,Medium,7
105,Road has major potholes in Aundh,Aundh,Electricity,Medium,4
106,Open manhole reported in Wagholi,Wagholi,Electricity,Medium,2
107,Open manhole reported in Camp,Camp,Electricity,High,4
108,No electricity since morning in Baner,Baner,Water Supply,Low,6
109,Water leakage reported in Kothrud,Kothrud,Waste Management,Medium,4
110,Garbage not collected in Hadapsar,Hadapsar,Sanitation,Medium,2
111,Streetlight not working in Wagholi,Wagholi,Waste Management,High,1
112,No electricity since morning in Baner,Baner,Electricity,Medium,6
113,Garbage not collected in Wagholi,Wagholi,Sanitation,Low,4
114,Irregular water supply in Pimpri,Pimpri,Road Maintenance,High,2
115,Road has major potholes in Kharadi,Kharadi,Road Maintenance,Low,1
116,Water leakage reported in Aundh,Aundh,Electricity,Medium,7
117,Broken footpath in Kharadi,Kharadi,Waste Management,Medium,2
118,Garbage not collected in Aundh,Aundh,Water Supply,Medium,1
119,Overflowing garbage bin in Camp,Camp,Water Supply,Low,3
120,Road has major potholes in Shivaji Nagar,Shivaji Nagar,Road Maintenance,Low,4
121,Overflowing garbage bin in Pimpri,Pimpri,Electricity,Medium,2
122,Overflowing garbage bin in Hadapsar,Hadapsar,Waste Management,Medium,2
123,Irregular water supply in Kothrud,Kothrud,Sanitation,Medium,6
124,Open manhole reported in Hadapsar,Hadapsar,Sanitation,High,1
125,Road has major potholes in Kothrud,Kothrud,Sanitation,Low,1
126,Broken footpath in Aundh,Aundh,Sanitation,High,3
127,Drainage system is blocked in Camp,Camp,Road Maintenance,Medium,4
128,Garbage not collected in Kharadi,Kharadi,Sanitation,Low,5
129,Broken footpath in Baner,Baner,Water Supply,Medium,3
130,Water leakage reported in Camp,Camp,Water Supply,Medium,3
131,Open manhole reported in Wagholi,Wagholi,Road Maintenance,Medium,5
132,Drainage system is blocked in Pimpri,Pimpri,Road Maintenance,High,1
133,Road has major potholes in Aundh,Aundh,Water Supply,Medium,6
134,Streetlight not working in Aundh,Aundh,Waste Management,Medium,3
135,Overflowing garbage bin in Aundh,Aundh,Electricity,High,5
136,Broken footpath in Viman Nagar,Viman Nagar,Waste Management,Medium,7
137,Water leakage reported in Camp,Camp,Sanitation,Medium,7
138,Open manhole reported in Viman Nagar,Viman Nagar,Sanitation,Medium,5
139,No electricity since morning in Viman Nagar,Viman Nagar,Road Maintenance,High,5
140,Broken footpath in Aundh,Aundh,Electricity,Medium,4
141,Drainage system is blocked in Pimpri,Pimpri,Water Supply,Medium,3
142,Road has major potholes in Hadapsar,Hadapsar,Waste Management,High,4
143,No electricity since morning in Baner,Baner,Electricity,Medium,6
144,Streetlight not working in Pimpri,Pimpri,Water Supply,Medium,4
145,Streetlight not working in Viman Nagar,Viman Nagar,Road Maintenance,High,1
146,Streetlight not working in Aundh,Aundh,Water Supply,High,1
147,Garbage not collected in Baner,Baner,Electricity,Medium,4
148,Irregular water supply in Camp,Camp,Water Supply,High,4
149,Irregular water supply in Aundh,Aundh,Waste Management,Medium,2
150,Streetlight not working in Hadapsar,Hadapsar,Sanitation,Medium,1
151,Water leakage reported in Wagholi,Wagholi,Sanitation,Low,7
152,Road has major potholes in Camp,Camp,Sanitation,Medium,4
153,Broken footpath in Kharadi,Kharadi,Road Maintenance,Medium,6
154,No electricity since morning in Hadapsar,Hadapsar,Waste Management,Medium,2
155,Irregular water supply in Baner,Baner,Electricity,Medium,5
156,Garbage not collected in Wagholi,Wagholi,Sanitation,Low,2
157,Open manhole reported in Kharadi,Kharadi,Road Maintenance,Medium,6
158,Streetlight not working in Shivaji Nagar,Shivaji Nagar,Waste Management,Medium,6
159,Overflowing garbage bin in Camp,Camp,Road Maintenance,High,6
160,Open manhole reported in Kharadi,Kharadi,Waste Management,Medium,4
161,Water leakage reported in Wagholi,Wagholi,Electricity,Medium,1
162,Drainage system is blocked in Hadapsar,Hadapsar,Road Maintenance,High,6
163,Broken footpath in Baner,Baner,Electricity,Medium,1
164,No electricity since morning in Viman Nagar,Viman Nagar,Sanitation,Low,2
165,Overflowing garbage bin in Kothrud,Kothrud,Water Supply,High,6
166,Drainage system is blocked in Viman Nagar,Viman Nagar,Sanitation,Medium,4
167,No electricity since morning in Kharadi,Kharadi,Water Supply,Medium,6
168,Water leakage reported in Aundh,Aundh,Water Supply,High,1
169,Water leakage reported in Hadapsar,Hadapsar,Sanitation,High,2
170,Drainage system is blocked in Aundh,Aundh,Electricity,High,6
171,No electricity since morning in Hadapsar,Hadapsar,Water Supply,Medium,5
172,Streetlight not working in Wagholi,Wagholi,Water Supply,Medium,7
173,Irregular water supply in Camp,Camp,Road Maintenance,High,3
174,Irregular water supply in Hadapsar,Hadapsar,Waste Management,High,5
175,Overflowing garbage bin in Shivaji Nagar,Shivaji Nagar,Waste Management,Medium,6
176,No electricity since morning in Kharadi,Kharadi,Water Supply,High,7
177,Open manhole reported in Aundh,Aundh,Water Supply,Medium,4
178,Irregular water supply in Shivaji Nagar,Shivaji Nagar,Electricity,High,1
179,Broken footpath in Pimpri,Pimpri,Water Supply,Medium,7
180,Broken footpath in Viman Nagar,Viman Nagar,Waste Management,Medium,7
181,Overflowing garbage bin in Viman Nagar,Viman Nagar,Sanitation,Medium,5
182,Road has major potholes in Aundh,Aundh,Electricity,High,2
183,Open manhole reported in Pimpri,Pimpri,Road Maintenance,High,5
184,Water leakage reported in Shivaji Nagar,Shivaji Nagar,Water Supply,High,6
185,No electricity since morning in Camp,Camp,Sanitation,Low,4
186,Broken footpath in Camp,Camp,Waste Management,Low,5
187,Irregular water supply in Kothrud,Kothrud,Road Maintenance,Low,7
188,Drainage system is blocked in Camp,Camp,Sanitation,Medium,1
189,Broken footpath in Wagholi,Wagholi,Waste Management,High,4
190,Garbage not collected in Hadapsar,Hadapsar,Sanitation,High,3
191,Irregular water supply in Pimpri,Pimpri,Road Maintenance,Medium,7
192,No electricity since morning in Kharadi,Kharadi,Sanitation,Medium,7
193,Drainage system is blocked in Aundh,Aundh,Sanitation,High,7
194,Streetlight not working in Pimpri,Pimpri,Water Supply,High,6
195,Garbage not collected in Camp,Camp,Waste Management,Medium,2
196,Drainage system is blocked in Viman Nagar,Viman Nagar,Sanitation,Medium,3
197,Road has major potholes in Baner,Baner,Electricity,Low,6
198,Irregular water supply in Hadapsar,Hadapsar,Road Maintenance,High,4
199,Open manhole reported in Pimpri,Pimpri,Sanitation,Low,3
200,Irregular water supply in Camp,Camp,Electricity,High,3
201,Streetlight not working in Pimpri,Pimpri,Water Supply,Medium,4
202,Open manhole reported in Pimpri,Pimpri,Waste Management,Medium,3
203,Road has major potholes in Kharadi,Kharadi,Water Supply,Medium,2
204,Water leakage reported in Camp,Camp,Waste Management,Medium,5
205,Water leakage reported in Kharadi,Kharadi,Electricity,High,7
206,No electricity since morning in Camp,Camp,Electricity,Medium,4
207,Road has major potholes in Pimpri,Pimpri,Waste Management,Low,4
208,Broken footpath in Wagholi,Wagholi,Waste Management,Medium,7
209,Overflowing garbage bin in Wagholi,Wagholi,Sanitation,High,6
210,No electricity since morning in Pimpri,Pimpri,Road Maintenance,Medium,1
211,Streetlight not working in Baner,Baner,Road Maintenance,Low,4
212,Drainage system is blocked in Camp,Camp,Water Supply,Low,2
213,Open manhole reported in Viman Nagar,Viman Nagar,Sanitation,Low,1
214,Streetlight not working in Pimpri,Pimpri,Electricity,Medium,4
215,Drainage system is blocked in Shivaji Nagar,Shivaji Nagar,Waste Management,Medium,5
216,Irregular water supply in Viman Nagar,Viman Nagar,Electricity,High,1
217,Road has major potholes in Kharadi,Kharadi,Sanitation,Medium,1
218,Broken footpath in Viman Nagar,Viman Nagar,Road Maintenance,Medium,6
219,Irregular water supply in Shivaji Nagar,Shivaji Nagar,Water Supply,Medium,7
220,Road has major potholes in Camp,Camp,Waste Management,Low,7
221,Open manhole reported in Hadapsar,Hadapsar,Sanitation,Medium,1
222,Irregular water supply in Pimpri,Pimpri,Road Maintenance,Medium,4
223,Streetlight not working in Shivaji Nagar,Shivaji Nagar,Road Maintenance,Medium,1
224,Drainage system is blocked in Aundh,Aundh,Road Maintenance,High,3
225,Irregular water supply in Aundh,Aundh,Road Maintenance,Medium,6
226,Drainage system is blocked in Kothrud,Kothrud,Water Supply,High,5
227,Garbage not collected in Viman Nagar,Viman Nagar,Water Supply,High,4
228,Overflowing garbage bin in Wagholi,Wagholi,Road Maintenance,Medium,6
229,No electricity since morning in Kothrud,Kothrud,Sanitation,Medium,6
230,Streetlight not working in Camp,Camp,Electricity,Medium,3
231,Water leakage reported in Camp,Camp,Road Maintenance,Low,4
232,Overflowing garbage bin in Kharadi,Kharadi,Water Supply,High,7
233,Overflowing garbage bin in Baner,Baner,Road Maintenance,High,1
234,Overflowing garbage bin in Hadapsar,Hadapsar,Water Supply,Medium,4
235,Broken footpath in Aundh,Aundh,Sanitation,Medium,5
236,Streetlight not working in Aundh,Aundh,Waste Management,High,5
237,Garbage not collected in Wagholi,Wagholi,Sanitation,Medium,6
238,Overflowing garbage bin in Kothrud,Kothrud,Water Supply,High,5
239,Broken footpath in Viman Nagar,Viman Nagar,Water Supply,Medium,1
240,Broken footpath in Shivaji Nagar,Shivaji Nagar,Electricity,High,5
241,Drainage system is blocked in Baner,Baner,Waste Management,Medium,2
242,Road has major potholes in Pimpri,Pimpri,Waste Management,Low,2
243,Open manhole reported in Wagholi,Wagholi,Road Maintenance,Medium,1
244,Garbage not collected in Pimpri,Pimpri,Sanitation,Medium,3
245,Road has major potholes in Kharadi,Kharadi,Electricity,High,2
246,Road has major potholes in Camp,Camp,Electricity,High,5
247,Water leakage reported in Camp,Camp,Sanitation,Medium,4
248,No electricity since morning in Baner,Baner,Sanitation,Medium,2
249,No electricity since morning in Wagholi,Wagholi,Water Supply,Medium,6
250,Streetlight not working in Aundh,Aundh,Electricity,High,2
251,Open manhole reported in Shivaji Nagar,Shivaji Nagar,Waste Management,Low,5
